Year, Month,  Highest, meanHighHighWater, meanHighWater, meanSeaLevel, MTL, meanLowWater, meanLowLowWater, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1933,6,0.217,,-0.021,-0.149,-0.158,-0.295,,,,0.274,,,10.150,4.130,-0.667,0
1933,7,0.339,,0.052,-0.091,-0.094,-0.237,,,,0.290,,,10.120,4.150,-0.515,0
1933,8,1.649,,0.061,-0.045,-0.082,-0.222,,,,0.283,,,10.150,4.170,-0.576,0
1933,9,0.461,,0.055,-0.070,-0.070,-0.198,,,,0.253,,,10.230,4.140,-0.515,0
1933,10,0.430,,-0.003,-0.131,-0.137,-0.271,,,,0.268,,,10.300,4.260,-0.637,0
1933,11,0.278,,-0.176,-0.298,-0.307,-0.439,,,,0.262,,,10.050,4.020,-0.911,0
1933,12,0.461,,-0.195,-0.320,-0.326,-0.460,,,,0.265,,,10.440,4.010,-1.094,0
1934,1,0.125,,-0.234,-0.359,-0.362,-0.487,,,,0.253,,,10.260,4.070,-1.094,0
1934,2,0.217,,-0.353,-0.478,-0.475,-0.597,,,,0.244,,,10.450,4.370,-1.033,0
1934,3,0.186,,-0.253,-0.365,-0.371,-0.490,,,,0.238,,,10.100,4.240,-0.911,0
1934,4,0.247,,-0.082,-0.204,-0.210,-0.338,,,,0.256,,,10.200,3.910,-0.911,0
1934,5,0.278,,-0.100,-0.228,-0.234,-0.368,,,,0.268,,,10.000,4.030,-0.698,0
1934,6,0.644,,0.006,-0.131,-0.137,-0.277,,,,0.283,,,10.210,4.020,-0.545,0
1934,7,0.217,,-0.009,-0.140,-0.143,-0.274,,,,0.265,,,10.230,4.250,-0.637,0
1934,8,0.186,,-0.039,-0.161,-0.167,-0.295,,,,0.256,,,10.420,4.280,-0.576,0
1934,9,0.491,,0.043,-0.073,-0.079,-0.201,,,,0.244,,,10.300,4.250,-0.545,0
1934,10,0.339,,-0.085,-0.201,-0.204,-0.326,,,,0.241,,,10.060,4.040,-0.789,0
1934,11,0.217,,-0.186,-0.298,-0.307,-0.426,,,,0.241,,,10.140,4.040,-0.972,0
1934,12,0.278,,-0.240,-0.350,-0.356,-0.472,,,,0.232,,,10.410,4.380,-0.789,0
1935,1,0.308,,-0.234,-0.359,-0.362,-0.490,,,,0.256,,,10.280,4.170,-1.124,0
1935,2,0.034,,-0.271,-0.387,-0.396,-0.524,,,,0.253,,,10.650,4.290,-1.094,0
1935,3,0.064,,-0.170,-0.298,-0.301,-0.432,,,,0.262,,,10.110,3.900,-1.002,0
1935,4,0.339,,-0.082,-0.204,-0.213,-0.344,,,,0.262,,,10.240,3.940,-0.820,0
1935,5,0.156,,-0.097,-0.225,-0.231,-0.365,,,,0.268,,,10.290,4.080,-0.606,0
1935,6,0.339,,-0.012,-0.143,-0.149,-0.286,,,,0.274,,,10.300,4.100,-0.515,0
