Year, Month,  Highest, meanHighHighWater, meanHighWater, meanSeaLevel, MTL, meanLowWater, meanLowLowWater, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1951,4,0.308,,0.000,-0.128,-0.137,-0.271,,,,0.271,,,10.290,4.280,-0.728,0
1951,5,0.400,,0.025,-0.103,-0.112,-0.246,,,,0.271,,,10.360,3.980,-0.667,0
1951,6,0.674,,0.138,0.013,0.003,-0.131,,,,0.268,,,10.270,4.190,-0.423,0
1951,7,0.278,,0.040,-0.088,-0.094,-0.228,,,,0.268,,,10.370,4.180,-0.667,0
1951,8,0.369,,0.080,-0.054,-0.058,-0.195,,,,0.274,,,10.240,4.070,-0.454,0
1951,9,0.369,,0.077,-0.048,-0.054,-0.182,,,,0.259,,,10.180,4.190,-0.576,0
1951,10,0.430,,0.074,-0.051,-0.058,-0.189,,,,0.262,,,10.100,4.110,-0.576,0
1951,11,0.735,,-0.094,-0.216,-0.222,-0.350,,,,0.256,,,10.240,3.950,-0.789,0
1951,12,0.278,,-0.134,-0.265,-0.268,-0.405,,,,0.271,,,10.030,3.980,-1.063,0
1952,1,0.461,,-0.112,-0.246,-0.246,-0.378,,,,0.265,,,10.240,4.110,-1.033,0
1952,2,0.369,,-0.070,-0.195,-0.204,-0.335,,,,0.265,,,10.350,4.000,-0.667,0
1952,3,0.674,,-0.033,-0.161,-0.161,-0.292,,,,0.259,,,10.240,3.900,-0.941,0
1952,4,0.430,,-0.006,-0.137,-0.143,-0.277,,,,0.271,,,10.390,4.140,-0.698,0
1952,5,0.522,,0.067,-0.061,-0.070,-0.204,,,,0.271,,,10.180,4.080,-0.484,0
1952,6,0.247,,0.022,-0.109,-0.112,-0.250,,,,0.271,,,10.340,4.100,-0.576,0
1952,7,0.400,,0.019,-0.112,-0.118,-0.256,,,,0.274,,,10.290,4.050,-0.545,0
1952,8,0.339,,0.043,-0.091,-0.094,-0.231,,,,0.274,,,10.260,4.300,-0.515,0
1952,9,0.826,,0.110,-0.027,-0.027,-0.164,,,,0.274,,,10.250,4.260,-0.484,0
1952,10,0.308,,-0.039,-0.170,-0.173,-0.304,,,,0.265,,,10.370,4.170,-0.911,0
1952,11,0.735,,0.006,-0.112,-0.118,-0.243,,,,0.250,,,10.230,4.110,-0.637,0
1952,12,0.491,,-0.006,-0.131,-0.131,-0.259,,,,0.253,,,10.210,4.140,-0.911,0
1953,1,0.613,,0.003,-0.122,-0.125,-0.256,,,,0.259,,,10.250,4.100,-0.820,0
1953,2,0.217,,-0.134,-0.259,-0.262,-0.390,,,,0.256,,,10.310,4.030,-0.880,0
1953,3,0.308,,-0.051,-0.179,-0.179,-0.311,,,,0.259,,,10.250,4.200,-0.820,0
1953,4,0.491,,-0.009,-0.140,-0.143,-0.280,,,,0.271,,,10.230,4.120,-0.667,0
1953,5,0.461,,0.092,-0.042,-0.045,-0.186,,,,0.277,,,10.360,4.180,-0.545,0
1953,6,0.491,,0.077,-0.051,-0.064,-0.204,,,,0.280,,,10.290,4.090,-0.515,0
1953,7,0.491,,0.064,-0.073,-0.079,-0.222,,,,0.287,,,10.200,4.220,-0.454,0
1953,8,0.400,,0.092,-0.039,-0.051,-0.192,,,,0.283,,,10.190,4.140,-0.698,0
1953,9,0.400,,0.092,-0.036,-0.039,-0.167,,,,0.259,,,10.030,4.180,-0.454,0
1953,10,0.583,,0.086,-0.045,-0.045,-0.179,,,,0.265,,,10.100,4.230,-0.545,0
1953,11,0.278,,-0.018,-0.146,-0.152,-0.286,,,,0.268,,,10.230,4.030,-1.063,0
1953,12,0.400,,-0.161,-0.280,-0.286,-0.411,,,,0.250,,,10.240,4.040,-0.941,0
1954,1,0.308,,-0.149,-0.274,-0.277,-0.402,,,,0.253,,,10.240,4.160,-0.850,0
1954,2,0.308,,-0.082,-0.204,-0.210,-0.338,,,,0.256,,,10.170,3.790,-0.789,0
1954,3,0.613,,-0.094,-0.225,-0.225,-0.356,,,,0.262,,,10.210,3.880,-1.033,0
1954,4,0.461,,-0.006,-0.134,-0.143,-0.280,,,,0.274,,,10.200,4.100,-0.698,0
1954,5,0.430,,0.064,-0.067,-0.076,-0.216,,,,0.280,,,10.070,4.080,-0.515,0
1954,6,0.400,,0.080,-0.058,-0.067,-0.213,,,,0.293,,,10.220,4.110,-0.576,0
1954,7,0.278,,0.055,-0.082,-0.088,-0.231,,,,0.287,,,10.120,4.200,-0.515,0
1954,8,0.247,,0.006,-0.125,-0.128,-0.262,,,,0.268,,,10.260,4.300,-0.576,0
1954,9,0.400,,0.077,-0.051,-0.058,-0.189,,,,0.265,,,10.280,4.120,-0.515,0
1954,10,1.223,,0.052,-0.091,-0.088,-0.228,,,,0.280,,,9.950,3.920,-0.911,0
1954,11,0.278,,-0.051,-0.179,-0.179,-0.307,,,,0.256,,,10.140,4.060,-0.850,0
1954,12,0.186,,-0.201,-0.320,-0.326,-0.451,,,,0.250,,,10.200,3.930,-0.850,0
1955,1,0.339,,-0.103,-0.231,-0.234,-0.362,,,,0.259,,,10.080,4.180,-0.880,0
1955,2,0.308,,-0.155,-0.283,-0.286,-0.417,,,,0.262,,,10.240,4.030,-1.002,0
1955,3,0.339,,-0.125,-0.250,-0.256,-0.387,,,,0.262,,,10.090,3.900,-1.033,0
1955,4,0.339,,0.037,-0.094,-0.100,-0.240,,,,0.277,,,10.310,4.070,-0.637,0
1955,5,0.400,,0.022,-0.115,-0.122,-0.265,,,,0.287,,,10.150,4.140,-0.515,0
1955,6,0.491,,0.052,-0.085,-0.088,-0.228,,,,0.280,,,10.230,4.100,-0.606,0
1955,7,0.247,,0.043,-0.091,-0.094,-0.231,,,,0.274,,,10.260,4.180,-0.454,0
1955,8,1.284,,0.192,0.052,0.052,-0.091,,,,0.283,,,10.240,4.250,-0.454,0
1955,9,0.339,,0.095,-0.036,-0.039,-0.173,,,,0.268,,,10.120,4.020,-0.423,0
1955,10,0.552,,0.131,0.000,-0.003,-0.140,,,,0.271,,,10.030,3.980,-0.667,0
1955,11,0.430,,-0.030,-0.161,-0.161,-0.295,,,,0.265,,,9.990,3.990,-1.002,0
1955,12,0.156,,-0.186,-0.311,-0.320,-0.454,,,,0.268,,,10.150,4.050,-1.002,0
1956,1,0.461,,-0.103,-0.231,-0.234,-0.365,,,,0.262,,,10.050,4.080,-1.063,0
1956,2,0.308,,-0.125,-0.259,-0.259,-0.396,,,,0.271,,,10.260,4.060,-0.789,0
1956,3,0.369,,-0.051,-0.179,-0.186,-0.320,,,,0.268,,,10.160,4.100,-0.698,0
1956,4,0.644,,0.025,-0.109,-0.115,-0.256,,,,0.280,,,10.170,4.030,-0.759,0
1956,5,0.339,,0.040,-0.097,-0.100,-0.240,,,,0.280,,,10.200,4.110,-0.576,0
1956,6,0.400,,0.077,-0.061,-0.067,-0.210,,,,0.287,,,10.250,3.920,-0.454,0
1956,7,0.430,,0.074,-0.061,-0.067,-0.207,,,,0.280,,,10.230,3.940,-0.454,0
1956,8,0.461,,0.138,-0.003,-0.009,-0.155,,,,0.293,,,10.090,3.980,-0.362,0
1956,9,0.491,,0.131,0.000,-0.003,-0.140,,,,0.271,,,9.960,4.030,-0.454,0
1956,10,0.522,,0.153,0.016,0.010,-0.131,,,,0.283,,,10.080,4.030,-0.515,0
1956,11,0.369,,0.010,-0.122,-0.131,-0.268,,,,0.277,,,10.030,3.980,-0.698,0
1956,12,0.308,,-0.054,-0.186,-0.186,-0.317,,,,0.262,,,10.320,4.070,-0.637,0
1957,1,0.095,,-0.179,-0.304,-0.307,-0.435,,,,0.256,,,,,-0.972,5
1957,2,0.369,,-0.054,-0.198,-0.192,-0.332,,,,0.277,,,10.110,3.890,-0.820,0
1957,3,0.369,,0.028,-0.115,-0.112,-0.253,,,,0.280,,,10.100,3.880,-0.667,0
1957,4,0.186,,-0.054,-0.189,-0.192,-0.326,,,,0.271,,,10.180,3.860,-0.728,0
1957,5,0.339,,0.052,-0.085,-0.088,-0.231,,,,0.283,,,10.140,3.890,-0.484,0
1957,6,0.583,,0.104,-0.039,-0.045,-0.198,,,,0.302,,,10.070,3.920,-0.545,0
1957,7,0.308,,0.049,-0.094,-0.100,-0.246,,,,0.296,,,10.120,3.960,-0.545,0
1957,8,0.308,,0.052,-0.088,-0.088,-0.228,,,,0.280,,,10.170,4.010,-0.454,0
1957,9,0.308,,0.089,-0.048,-0.051,-0.189,,,,0.277,,,10.140,3.980,-0.423,0
1957,10,0.644,,0.040,-0.094,-0.094,-0.231,,,,0.271,,,10.310,3.960,-0.576,0
1957,11,0.461,,-0.024,-0.146,-0.152,-0.280,,,,0.256,,,10.120,4.230,-0.759,0
1957,12,0.552,,-0.140,-0.265,-0.265,-0.393,,,,0.253,,,10.380,4.100,-1.094,0
1958,1,0.339,,-0.088,-0.213,-0.219,-0.350,,,,0.262,,,10.000,4.120,-0.850,0
1958,2,0.491,,-0.219,-0.344,-0.347,-0.475,,,,0.256,,,10.220,4.120,-0.972,0
1958,3,0.461,,0.025,-0.097,-0.106,-0.240,,,,0.265,,,10.170,4.010,-0.698,0
1958,4,0.644,,0.119,-0.015,-0.021,-0.161,,,,0.280,,,10.280,3.930,-0.576,0
1958,5,0.369,,0.055,-0.082,-0.088,-0.228,,,,0.283,,,10.480,4.170,-0.423,0
1958,6,0.369,,0.095,-0.045,-0.051,-0.198,,,,0.293,,,10.030,4.120,-0.545,0
1959,1,0.552,,-0.158,-0.286,-0.292,-0.423,,,,0.265,,,10.360,4.210,-1.185,0
1959,2,0.247,,-0.161,-0.295,-0.301,-0.442,,,,0.280,,,10.240,3.940,-0.789,0
1959,3,0.308,,-0.106,-0.219,-0.237,-0.371,,,,0.265,,,10.200,3.870,-0.759,0
1959,4,0.369,,0.058,-0.082,-0.088,-0.234,,,,0.293,,,9.980,3.790,-0.698,0
1959,5,0.217,,-0.021,-0.158,-0.170,-0.320,,,,0.299,,,10.200,3.940,-0.515,0
1959,6,0.308,,0.028,-0.112,-0.122,-0.268,,,,0.296,,,10.300,3.970,-0.850,0
1959,7,0.278,,0.040,-0.094,-0.103,-0.246,,,,0.287,,,10.140,3.950,-0.423,0
1959,8,0.491,,0.128,-0.012,-0.015,-0.158,,,,0.287,,,10.130,3.900,-0.484,0
1959,9,0.430,,0.110,-0.024,-0.030,-0.170,,,,0.280,,,9.900,3.750,-0.484,0
1959,10,0.552,,0.147,0.013,0.006,-0.131,,,,0.277,,,10.010,3.990,-0.606,0
1959,11,0.400,,-0.012,-0.140,-0.152,-0.292,,,,0.280,,,10.030,4.110,-0.759,0
1959,12,0.430,,-0.027,-0.155,-0.170,-0.314,,,,0.287,,,10.230,3.960,-0.698,0
1960,1,0.400,,-0.051,-0.182,-0.195,-0.335,,,,0.283,,,10.130,3.980,-0.850,0
1960,2,0.491,,-0.058,-0.192,-0.192,-0.326,,,,0.268,,,10.180,4.170,-1.033,0
1960,3,0.308,,-0.103,-0.250,-0.250,-0.396,,,,0.293,,,10.200,4.000,-0.911,0
1960,4,0.400,,0.043,-0.106,-0.103,-0.250,,,,0.293,,,10.270,4.040,-0.606,0
1960,5,0.491,,0.153,0.016,0.013,-0.131,,,,0.283,,,10.080,3.820,-0.484,0
1960,6,,,0.144,0.003,-0.003,-0.149,,,,0.293,,,,,,5
1960,7,,,0.113,-0.033,-0.036,-0.186,,,,0.299,,,,,,5
1960,8,0.400,,0.156,0.016,0.006,-0.140,,,,0.296,,,10.060,3.960,-0.454,0
1960,9,0.400,,0.177,0.034,0.034,-0.109,,,,0.287,,,10.120,3.830,-0.423,0
1960,10,0.491,,0.095,-0.042,-0.042,-0.179,,,,0.274,,,10.050,3.890,-0.576,0
1960,11,0.552,,0.022,-0.125,-0.125,-0.271,,,,0.293,,,10.190,4.010,-0.667,0
1960,12,0.186,,-0.170,-0.304,-0.311,-0.454,,,,0.283,,,10.330,4.020,-0.911,0
1961,1,0.430,,-0.146,-0.280,-0.283,-0.423,,,,0.277,,,10.390,4.030,-0.972,0
1961,2,0.674,,0.003,-0.137,-0.137,-0.277,,,,0.280,,,10.250,4.070,-0.637,0
1961,3,0.400,,0.089,-0.054,-0.051,-0.192,,,,0.280,,,10.040,3.900,-0.728,0
1961,4,0.552,,0.070,-0.064,-0.073,-0.216,,,,0.287,,,10.150,4.160,-0.698,0
1961,5,0.400,,0.061,-0.067,-0.082,-0.222,,,,0.283,,,10.220,3.780,-0.850,0
1961,6,0.552,,0.074,-0.067,-0.076,-0.225,,,,0.299,,,10.250,4.010,-0.484,0
1961,7,0.400,,0.080,-0.070,-0.076,-0.234,,,,0.314,,,10.210,3.950,-0.454,0
1961,8,0.308,,0.092,-0.051,-0.058,-0.207,,,,0.299,,,10.170,3.920,-0.454,0
1961,9,0.522,,0.128,-0.018,-0.021,-0.173,,,,0.302,,,10.350,3.960,-0.637,0
1961,10,0.644,,0.074,-0.054,-0.058,-0.189,,,,0.262,,,10.320,3.990,-0.728,0
1961,11,0.430,,0.016,-0.115,-0.125,-0.265,,,,0.280,,,10.200,3.890,-0.637,0
1961,12,0.369,,-0.070,-0.198,-0.198,-0.323,,,,0.253,,,10.180,3.960,-0.759,0
1962,1,0.278,,-0.143,-0.265,-0.274,-0.405,,,,0.262,,,10.070,3.920,-0.941,0
1962,2,0.400,,-0.030,-0.161,-0.167,-0.307,,,,0.277,,,10.190,3.910,-0.789,0
1962,3,1.070,,0.128,-0.006,-0.009,-0.149,,,,0.277,,,9.960,3.770,-0.698,0
1962,4,0.217,,-0.027,-0.170,-0.173,-0.320,,,,0.293,,,10.170,4.130,-0.728,0
1962,5,0.369,,0.119,-0.027,-0.036,-0.192,,,,0.311,,,10.320,4.200,-0.393,0
1962,6,0.369,,0.113,-0.036,-0.039,-0.189,,,,0.302,,,10.220,4.180,-0.423,0
1962,7,,,0.095,-0.045,-0.051,-0.198,,,,0.293,,,,,,5
1962,8,,,0.135,-0.009,-0.015,-0.167,,,,0.302,,,,,,5
1962,9,0.430,,0.119,-0.018,-0.027,-0.173,,,,0.293,,,10.120,4.150,-0.606,0
1962,10,0.430,,0.113,-0.018,-0.021,-0.158,,,,0.271,,,9.970,4.020,-0.759,0
1962,11,0.674,,0.083,-0.039,-0.048,-0.179,,,,0.262,,,10.060,4.110,-0.637,0
1962,12,0.704,,-0.097,-0.216,-0.228,-0.356,,,,0.259,,,10.120,4.240,-1.429,0
1963,1,0.400,,-0.106,-0.246,-0.250,-0.393,,,,0.287,,,10.460,3.900,-1.368,0
1963,2,0.156,,-0.204,-0.326,-0.335,-0.463,,,,0.259,,,10.070,4.120,-1.094,0
1963,3,0.339,,-0.027,-0.155,-0.158,-0.292,,,,0.265,,,9.900,3.850,-0.576,0
1963,4,0.522,,-0.006,-0.140,-0.146,-0.283,,,,0.277,,,9.910,3.840,-0.667,0
1963,5,0.369,,-0.003,-0.134,-0.137,-0.271,,,,0.268,,,10.030,3.850,-0.637,0
1963,6,0.339,,0.070,-0.067,-0.073,-0.216,,,,0.287,,,10.400,3.810,-0.484,0
1963,7,0.369,,0.070,-0.064,-0.073,-0.213,,,,0.283,,,10.360,4.050,-0.423,0
1963,8,0.278,,0.046,-0.094,-0.094,-0.234,,,,0.280,,,10.310,4.030,-0.728,0
1963,9,0.491,,0.119,-0.018,-0.021,-0.161,,,,0.280,,,10.490,3.980,-0.545,0
1963,10,0.339,,0.019,-0.118,-0.122,-0.262,,,,0.280,,,10.010,4.030,-0.606,0
1963,11,0.461,,0.016,-0.125,-0.128,-0.271,,,,0.287,,,9.840,3.960,-0.789,0
1963,12,0.247,,-0.167,-0.292,-0.301,-0.435,,,,0.268,,,9.460,3.700,-0.850,0
1964,1,0.491,,-0.109,-0.240,-0.246,-0.384,,,,0.274,,,9.850,3.990,-0.820,0
1964,2,0.369,,-0.155,-0.283,-0.289,-0.426,,,,0.271,,,9.910,3.870,-1.063,0
1964,3,0.400,,-0.009,-0.146,-0.149,-0.292,,,,0.283,,,10.110,3.880,-0.820,0
1964,4,0.430,,-0.030,-0.170,-0.173,-0.314,,,,0.283,,,10.070,3.830,-0.972,0
1964,5,0.247,,0.025,-0.103,-0.112,-0.250,,,,0.274,,,10.000,3.930,-0.576,0
1964,6,0.339,,0.040,-0.106,-0.109,-0.259,,,,0.299,,,10.290,4.180,-0.545,0
1964,7,0.552,,0.058,-0.082,-0.088,-0.231,,,,0.290,,,9.910,3.940,-0.515,0
1964,8,0.430,,0.101,-0.033,-0.036,-0.173,,,,0.274,,,9.840,3.940,-0.484,0
1964,9,0.491,,0.135,0.000,-0.009,-0.152,,,,0.287,,,10.260,4.140,-0.515,0
1964,10,0.491,,0.055,-0.070,-0.082,-0.216,,,,0.271,,,9.900,3.930,-0.545,0
1964,11,0.461,,0.019,-0.109,-0.118,-0.259,,,,0.277,,,10.090,4.000,-0.606,0
1964,12,0.308,,-0.088,-0.210,-0.216,-0.347,,,,0.259,,,9.940,3.890,-0.911,0
1965,1,0.308,,-0.073,-0.219,-0.210,-0.347,,,,0.274,,,10.290,3.950,-0.698,0
1965,2,0.644,,-0.054,-0.201,-0.207,-0.356,,,,0.302,,,10.060,3.800,-0.820,0
1965,3,0.308,,-0.036,-0.167,-0.173,-0.311,,,,0.274,,,10.230,3.890,-0.606,0
1965,4,0.400,,0.049,-0.082,-0.097,-0.243,,,,0.293,,,10.460,3.990,-0.637,0
1965,5,0.369,,0.067,-0.082,-0.088,-0.243,,,,0.311,,,10.160,3.680,-0.393,0
1965,6,0.339,,0.080,-0.054,-0.064,-0.207,,,,0.287,,,10.030,3.800,-0.423,0
1965,7,0.400,,0.110,-0.039,-0.039,-0.189,,,,0.299,,,9.960,3.960,-0.423,0
1965,8,0.430,,0.074,-0.067,-0.073,-0.219,,,,0.293,,,10.090,3.850,-0.637,0
1965,9,0.339,,0.128,-0.009,-0.018,-0.161,,,,0.290,,,9.990,3.760,-0.545,0
1965,10,0.613,,0.049,-0.076,-0.085,-0.219,,,,0.268,,,10.180,3.860,-0.667,0
1965,11,0.400,,0.019,-0.118,-0.122,-0.259,,,,0.277,,,10.070,3.930,-0.880,0
1965,12,0.339,,-0.036,-0.167,-0.173,-0.311,,,,0.274,,,10.210,4.030,-0.972,0
1966,1,0.430,,-0.140,-0.265,-0.268,-0.396,,,,0.256,,,9.930,4.170,-0.880,0
1966,2,0.339,,-0.100,-0.222,-0.231,-0.362,,,,0.262,,,10.170,3.830,-1.002,0
1966,3,0.339,,-0.003,-0.128,-0.137,-0.268,,,,0.265,,,9.960,3.820,-0.606,0
1966,4,0.339,,0.046,-0.085,-0.094,-0.234,,,,0.280,,,10.060,3.740,-0.515,0
1966,5,0.491,,0.074,-0.058,-0.064,-0.204,,,,0.277,,,10.110,3.710,-0.698,0
1966,6,0.278,,0.061,-0.070,-0.082,-0.222,,,,0.283,,,10.100,3.760,-0.515,0
1966,7,0.339,,0.089,-0.048,-0.054,-0.198,,,,0.287,,,10.140,4.000,-0.484,0
1966,8,0.369,,0.095,-0.039,-0.045,-0.189,,,,0.283,,,10.180,3.950,-0.484,0
1966,9,0.613,,0.135,0.003,-0.003,-0.143,,,,0.277,,,10.020,3.920,-0.484,0
1966,10,0.369,,0.000,-0.131,-0.131,-0.265,,,,0.265,,,10.250,3.950,-0.637,0
1966,11,0.704,,0.043,-0.085,-0.088,-0.222,,,,0.265,,,10.100,3.950,-0.698,0
1966,12,0.400,,-0.094,-0.210,-0.222,-0.350,,,,0.256,,,10.310,3.910,-1.033,0
1967,1,0.308,,-0.076,-0.213,-0.213,-0.350,,,,0.274,,,10.190,3.960,-0.698,0
1967,2,0.278,,-0.125,-0.246,-0.253,-0.381,,,,0.256,,,10.000,3.860,-1.399,0
1967,3,0.491,,-0.024,-0.149,-0.161,-0.295,,,,0.271,,,10.220,4.020,-0.911,0
1967,4,0.522,,0.061,-0.076,-0.082,-0.228,,,,0.290,,,10.210,4.120,-0.698,0
1967,5,0.522,,0.116,-0.018,-0.024,-0.164,,,,0.280,,,10.080,3.990,-0.454,0
1967,6,0.461,,0.128,-0.009,-0.018,-0.164,,,,0.293,,,10.250,4.050,-0.515,0
1967,7,0.400,,0.113,-0.027,-0.030,-0.173,,,,0.287,,,10.240,3.980,-0.362,0
1967,8,0.339,,0.141,0.006,-0.003,-0.143,,,,0.283,,,9.980,3.840,-0.362,0
1967,9,0.552,,0.116,-0.012,-0.021,-0.158,,,,0.274,,,9.880,3.880,-0.545,0
1967,10,0.491,,0.086,-0.045,-0.048,-0.182,,,,0.268,,,9.810,3.820,-0.576,0
1967,11,0.491,,-0.027,-0.152,-0.161,-0.295,,,,0.268,,,10.210,4.080,-0.820,0
1967,12,0.583,,0.028,-0.097,-0.106,-0.237,,,,0.265,,,10.110,4.110,-0.850,0
1968,1,0.653,,-0.100,-0.231,-0.237,-0.371,,,,0.271,,,10.090,3.970,-1.012,0
1968,2,0.467,,-0.118,-0.250,-0.250,-0.384,,,,0.265,,,10.110,3.950,-0.899,0
1968,3,0.323,,-0.091,-0.216,-0.219,-0.350,,,,0.259,,,9.860,4.060,-0.914,0
1968,4,0.442,,0.040,-0.091,-0.097,-0.231,,,,0.271,,,9.840,3.800,-0.728,0
1968,5,0.555,,0.107,-0.021,-0.030,-0.167,,,,0.274,,,9.840,3.830,-0.506,0
1968,6,0.543,,0.153,0.016,0.010,-0.134,,,,0.287,,,9.890,3.920,-0.417,0
1968,7,0.363,,0.128,-0.015,-0.024,-0.173,,,,0.302,,,9.950,3.980,-0.445,0
1968,8,0.333,,0.119,-0.024,-0.027,-0.176,,,,0.296,,,9.970,3.970,-0.435,0
1968,9,0.458,,0.162,0.028,0.025,-0.115,,,,0.277,,,9.890,3.890,-0.411,0
1968,10,0.387,,0.067,-0.064,-0.067,-0.201,,,,0.268,,,10.050,4.020,-0.673,0
1968,11,0.549,,0.046,-0.082,-0.085,-0.219,,,,0.265,,,9.970,4.070,-0.664,0
1968,12,0.445,,-0.161,-0.286,-0.292,-0.423,,,,0.262,,,9.990,3.990,-0.944,0
1969,1,0.247,,-0.137,-0.262,-0.265,-0.393,,,,0.256,,,10.200,4.220,-0.850,0
1969,2,0.339,,-0.082,-0.210,-0.210,-0.338,,,,0.256,,,9.900,3.890,-1.124,0
1969,3,0.461,,-0.021,-0.149,-0.158,-0.292,,,,0.271,,,9.980,3.940,-0.850,0
1969,4,0.430,,0.013,-0.115,-0.125,-0.259,,,,0.271,,,10.150,3.900,-0.637,0
1969,5,0.400,,0.089,-0.045,-0.054,-0.195,,,,0.283,,,9.970,3.840,-0.545,0
1969,6,0.430,,0.183,0.052,0.043,-0.100,,,,0.283,,,9.910,3.840,-0.484,0
1969,7,0.674,,0.195,0.055,0.049,-0.097,,,,0.293,,,9.940,3.860,-0.393,0
1970,2,0.333,,-0.067,-0.201,-0.204,-0.338,,,,0.271,,,9.900,3.880,-0.902,0
1970,3,0.314,,-0.006,-0.140,-0.143,-0.280,,,,0.274,,,9.970,3.860,-0.628,0
1970,4,,,0.119,-0.021,-0.027,-0.173,,,,0.293,,,,,,6
1970,5,0.326,,0.052,-0.088,-0.097,-0.243,,,,0.296,,,9.920,3.800,-0.670,0
1970,6,0.403,,0.128,-0.012,-0.018,-0.164,,,,0.293,,,9.940,3.900,-0.466,0
1970,7,0.403,,0.098,-0.036,-0.045,-0.189,,,,0.287,,,9.940,3.950,-0.493,0
1970,8,0.476,,0.165,0.022,0.016,-0.137,,,,0.302,,,9.890,3.980,-0.426,0
1970,9,0.418,,0.122,-0.015,-0.015,-0.155,,,,0.277,,,10.050,4.070,-0.472,0
1970,10,0.534,,0.165,0.034,0.031,-0.106,,,,0.271,,,9.900,3.890,-0.685,0
1970,11,0.625,,0.162,0.034,0.025,-0.112,,,,0.274,,,9.700,3.870,-0.661,0
1970,12,0.583,,0.043,-0.094,-0.094,-0.228,,,,0.271,,,9.720,3.830,-0.771,0
1971,1,0.314,,-0.082,-0.216,-0.216,-0.350,,,,0.268,,,9.760,3.840,-1.012,0
1971,2,0.421,,-0.015,-0.134,-0.134,-0.253,,,,0.238,,,9.880,3.270,-0.615,0
1971,3,0.589,,-0.042,-0.170,-0.173,-0.307,,,,0.265,,,9.810,3.850,-0.777,0
1971,4,0.403,,0.046,-0.088,-0.094,-0.231,,,,0.277,,,10.030,3.900,-0.597,0
1971,5,0.384,,0.101,-0.033,-0.039,-0.179,,,,0.280,,,9.830,3.800,-0.439,0
1971,6,0.516,,0.150,0.013,0.006,-0.140,,,,0.290,,,10.060,4.030,-0.484,0
1971,7,0.400,,0.101,-0.036,-0.045,-0.189,,,,0.290,,,10.020,4.140,-0.499,0
1971,8,0.381,,0.092,-0.048,-0.051,-0.195,,,,0.287,,,10.020,4.110,-0.621,0
1971,9,0.458,,0.180,0.046,0.043,-0.097,,,,0.277,,,9.840,3.740,-0.347,0
1971,10,0.610,,0.259,0.125,0.119,-0.021,,,,0.280,,,9.820,3.880,-0.365,0
1971,11,,,0.107,-0.039,-0.039,-0.186,,,,0.293,,,,,,6
1971,12,,,0.010,-0.125,-0.131,-0.271,,,,0.280,,,,,,6
1972,1,0.467,,-0.021,-0.152,-0.155,-0.292,,,,0.271,,,10.040,4.070,-0.844,0
1972,2,0.558,,-0.064,-0.201,-0.204,-0.341,,,,0.277,,,9.760,3.890,-1.060,0
1972,3,,,0.052,-0.082,-0.085,-0.222,,,,0.274,,,,,,5
1972,4,0.497,,0.107,-0.024,-0.030,-0.167,,,,0.274,,,9.980,4.010,-0.509,0
1972,5,0.491,,0.177,0.046,0.040,-0.097,,,,0.274,,,9.980,3.870,-0.387,0
1972,6,0.711,,0.211,0.061,0.064,-0.082,,,,0.293,,,9.850,3.870,-0.725,0
1972,7,0.516,,0.162,0.019,0.013,-0.137,,,,0.299,,,10.040,4.070,-0.521,0
1972,8,0.497,0.241,0.168,0.022,0.010,-0.146,-0.219,0.010,0.460,0.314,0.073,0.073,10.000,3.890,-0.463,0
1972,9,0.637,0.281,0.192,0.058,0.049,-0.091,-0.167,0.058,0.448,0.283,0.088,0.076,9.770,3.900,-0.429,0
1972,10,0.555,,0.110,-0.030,-0.033,-0.176,,,,0.287,,,9.890,3.910,-0.585,0
1972,11,0.479,0.238,0.144,0.016,0.010,-0.125,-0.204,0.016,0.442,0.268,0.094,0.079,9.950,3.980,-0.621,0
1972,12,0.558,,0.067,-0.061,-0.064,-0.198,,,,0.265,,,9.920,4.100,-0.948,0
1973,1,0.616,,0.016,-0.118,-0.125,-0.262,,,,0.277,,,9.960,4.030,-0.728,0
1973,2,0.595,,0.010,-0.118,-0.125,-0.259,,,,0.268,,,9.980,4.120,-0.981,0
1973,3,0.637,,0.116,-0.018,-0.027,-0.167,,,,0.283,,,9.980,4.000,-0.713,0
1973,4,0.717,,0.098,-0.039,-0.045,-0.189,,,,0.287,,,10.130,3.960,-0.579,0
1973,5,0.494,,0.147,0.010,0.003,-0.143,,,,0.290,,,10.040,3.950,-0.469,0
1973,6,0.506,,0.144,0.003,-0.003,-0.149,,,,0.293,,,10.120,4.140,-0.353,0
1973,7,0.412,,0.159,0.010,0.003,-0.152,,,,0.311,,,10.210,4.040,-0.362,0
1973,8,0.442,,0.165,0.016,0.010,-0.143,,,,0.308,,,10.120,4.000,-0.359,0
1973,9,0.610,,0.192,0.046,0.040,-0.115,,,,0.308,,,10.020,4.030,-0.445,0
1973,10,0.775,,0.147,0.010,0.006,-0.134,,,,0.280,,,10.000,3.780,-0.557,0
1973,11,0.333,,-0.067,-0.192,-0.198,-0.332,,,,0.265,,,9.920,3.910,-0.850,0
1973,12,0.656,,-0.039,-0.164,-0.173,-0.304,,,,0.265,,,10.270,4.260,-0.801,0
1974,1,0.448,,0.077,-0.061,-0.064,-0.204,,,,0.280,,,10.020,4.010,-0.481,0
